StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q5,Q5_10_TEXT,Q21,Q21_10_TEXT,Q6,Q6_5_TEXT,Q22,Q2,Q3,Q4,Q7,Q8,Q19,Q20,Q18,Q9,Q10,Q11,Q12,Q12_3_TEXT,Q13,Q13_3_TEXT,Q23,Q23_3_TEXT,RecipientEmail,RecipientFirstName,RecipientLastName,Q12_3_TEXT - Parent Topics,Q12_3_TEXT - Sentiment Polarity,Q12_3_TEXT - Sentiment Score,Q12_3_TEXT - Sentiment,Q12_3_TEXT - Topic Sentiment Label,Q12_3_TEXT - Topic Sentiment Score,Q12_3_TEXT - Topics
2020-04-18 15:32:12,2020-04-18 15:35:49,IP Address,73.124.147.113,100,216,True,2020-04-18 15:35:49,R_phjXVghebBiQtGN,,,,,26.4550018310546875,-80.10759735107421875,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,I do not plan to pursue a double major,Liberal,Never,To a moderate extent,To no or a very minimal extent,To a moderate extent,,To a moderate extent,To a small extent,To a moderate extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:34:20,2020-04-18 15:35:53,IP Address,24.191.42.225,100,93,True,2020-04-18 15:35:53,R_2aOKv3qqN4AABQq,,,,,41.1681976318359375,-73.26889801025390625,anonymous,EN,Undergraduate student,,,,,STEM,,Social Sciences,Left of center,Never,To a moderate extent,To no or a very minimal extent,To a small extent,,To a small extent,To a moderate extent,To a moderate extent,To a moderate extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:34:43,2020-04-18 15:35:53,IP Address,104.172.217.2,100,70,True,2020-04-18 15:35:53,R_UFrPeHfphMAjWlb,,,,,33.790802001953125,-118.324798583984375,anonymous,EN,Undergraduate student,,,,,Social Sciences,,Foreign Language,Conservative,Never,To a large extent,To a moderate extent,To a small extent,,To a moderate extent,To no or a very minimal extent,To a large extent,To no or a very minimal extent,Yes,The Republican nominee,,,,,,,,,,,,,,,
2020-04-18 15:34:54,2020-04-18 15:36:06,IP Address,73.109.105.219,100,71,True,2020-04-18 15:36:06,R_2wcorHQ7Bcsx55T,,,,,47.6356048583984375,-122.360504150390625,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,Social Sciences,Liberal,Never,To a moderate extent,To an extremely large extent,To a small extent,,To a moderate extent,To a small extent,To a small extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:34:15,2020-04-18 15:36:24,IP Address,75.134.11.144,100,128,True,2020-04-18 15:36:24,R_1DIpNrNKrP9S31g,,,,,41.4824066162109375,-73.2230987548828125,anonymous,EN,Undergraduate student,,,,,STEM,,STEM,Left of center,Never,To a small extent,To no or a very minimal extent,To a small extent,,To a small extent,To a small extent,To no or a very minimal extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:34:47,2020-04-18 15:36:25,IP Address,67.244.12.9,100,97,True,2020-04-18 15:36:25,R_3dQzQt14l6G7O9U,,,,,40.7512969970703125,-73.82440185546875,anonymous,EN,Undergraduate student,,,,,Social Sciences,,I do not plan to pursue a double major,Moderate/Centrist,Never,To a moderate extent,To a moderate extent,To a small extent,,To a moderate extent,To a small extent,To a large extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:35:32,2020-04-18 15:36:40,IP Address,73.4.220.7,100,68,True,2020-04-18 15:36:41,R_1gpyck3Hq76FlQI,,,,,41.7487945556640625,-72.61519622802734375,anonymous,EN,Undergraduate student,,,,,Social Sciences,,STEM,Liberal,Never,To a moderate extent,To a small extent,To a moderate extent,,To a moderate extent,To a small extent,To no or a very minimal extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:34:35,2020-04-18 15:36:43,IP Address,104.162.64.106,100,128,True,2020-04-18 15:36:44,R_3Gd3fChJm0dbgZc,,,,,40.6208038330078125,-74.0426025390625,anonymous,EN,Undergraduate student,,,,,Social Sciences,,I do not plan to pursue a double major,Very liberal,Never,To a moderate extent,To a large extent,To a moderate extent,,To a small extent,To a moderate extent,To a moderate extent,To a moderate extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:33:50,2020-04-18 15:36:45,IP Address,98.7.127.58,100,175,True,2020-04-18 15:36:46,R_31aAuiRfuIopWAB,,,,,40.781005859375,-73.950103759765625,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,I do not plan to pursue a double major,Very liberal,Never,To a moderate extent,To an extremely large extent,To a small extent,,To a large extent,To a small extent,To a small extent,To a moderate extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:32:14,2020-04-18 15:36:48,IP Address,107.77.231.106,100,273,True,2020-04-18 15:36:48,R_2sbaPR0KKZ6vSdH,,,,,34.072906494140625,-118.2606048583984375,anonymous,EN,Undergraduate student,,,,,Social Sciences,,I do not plan to pursue a double major,Very liberal,Occasionally,To an extremely large extent,To an extremely large extent,To a small extent,,To a large extent,To a moderate extent,To no or a very minimal extent,To a small extent,Yes,Undecided,,,,,,,,,,,,,,,
2020-04-18 15:35:35,2020-04-18 15:37:01,IP Address,65.96.227.38,100,86,True,2020-04-18 15:37:01,R_3kjj0Id5UMH2CWw,,,,,42.37969970703125,-71.10340118408203125,anonymous,EN,Faculty member,Humanities and Arts (includes schools of Drama and Music),,,,,,,Very liberal,Very Frequently,To a moderate extent,To a moderate extent,To a moderate extent,To a moderate extent,,To a moderate extent,To a moderate extent,To a small extent,Yes,Undecided,,,,,,,,,,,,,,,
2020-04-18 15:35:22,2020-04-18 15:37:01,IP Address,108.26.220.16,100,99,True,2020-04-18 15:37:01,R_12PdVGVv4PrMvbR,,,,,42.35589599609375,-71.2082977294921875,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,STEM,Left of center,Occasionally,To a large extent,To a small extent,To a small extent,,To a moderate extent,To a small extent,To a moderate extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:34:48,2020-04-18 15:37:04,IP Address,174.195.17.140,100,135,True,2020-04-18 15:37:04,R_3J7TES1eSkAYjpi,,,,,35.9875030517578125,-84.11679840087890625,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,Social Sciences,Very conservative,Never,To a large extent,To a moderate extent,To no or a very minimal extent,,To a small extent,To no or a very minimal extent,To a large extent,To no or a very minimal extent,Yes,The Republican nominee,,,,,,,,,,,,,,,
2020-04-18 15:36:10,2020-04-18 15:37:18,IP Address,68.129.106.82,100,67,True,2020-04-18 15:37:18,R_2qCAqA5F48O3BU7,,,,,41.0991058349609375,-74.00800323486328125,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Liberal,Never,To a moderate extent,To a small extent,To a small extent,,To a small extent,To a moderate extent,To no or a very minimal extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:35:17,2020-04-18 15:37:18,IP Address,73.225.151.99,100,120,True,2020-04-18 15:37:18,R_238DBNNoUMuHNrD,,,,,47.58709716796875,-122.0388031005859375,anonymous,EN,Undergraduate student,,,,,STEM,,STEM,Conservative,Never,To a moderate extent,To a small extent,To a small extent,,To a large extent,To no or a very minimal extent,To a moderate extent,To no or a very minimal extent,Yes,The Republican nominee,,,,,,,,,,,,,,,
2020-04-18 15:36:13,2020-04-18 15:37:25,IP Address,68.175.129.81,100,71,True,2020-04-18 15:37:25,R_1f3gA1An5euhgeX,,,,,42.4416961669921875,-76.49849700927734375,anonymous,EN,Undergraduate student,,,,,Social Sciences,,I do not plan to pursue a double major,Liberal,Never,To a moderate extent,To an extremely large extent,To a moderate extent,,To a moderate extent,To a small extent,To a moderate extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:35:25,2020-04-18 15:37:36,IP Address,71.47.53.182,100,130,True,2020-04-18 15:37:36,R_1CpuvlZ3ANAxeNd,,,,,28.5464019775390625,-81.2584991455078125,anonymous,EN,Undergraduate student,,,,,Social Sciences,,I do not plan to pursue a double major,Very liberal,Never,To a large extent,To a large extent,To a large extent,,To a moderate extent,To a large extent,To no or a very minimal extent,To a moderate extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:36:01,2020-04-18 15:37:41,IP Address,74.72.234.0,100,99,True,2020-04-18 15:37:41,R_2cipKu66I2UhAJh,,,,,40.679901123046875,-74.00279998779296875,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,I do not plan to pursue a double major,Left of center,Never,To a moderate extent,To no or a very minimal extent,To a moderate extent,,To a small extent,To a moderate extent,To a small extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:35:36,2020-04-18 15:37:46,IP Address,65.189.195.234,100,129,True,2020-04-18 15:37:46,R_T5I0PzOxPmG9RYZ,,,,,41.0384979248046875,-81.5637969970703125,anonymous,EN,Undergraduate student,,,,,STEM,,STEM,Moderate/Centrist,Never,To a moderate extent,To no or a very minimal extent,To a small extent,,To a moderate extent,To a small extent,To an extremely large extent,To a small extent,Yes,Undecided,,,,,,,,,,,,,,,
2020-04-18 15:35:21,2020-04-18 15:37:49,IP Address,75.30.251.134,100,148,True,2020-04-18 15:37:49,R_3hnAC6hVYXYg5Jn,,,,,32.999298095703125,-96.83460235595703125,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Left of center,Never,To a small extent,To no or a very minimal extent,To a small extent,,To a moderate extent,To a small extent,To no or a very minimal extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:36:20,2020-04-18 15:37:50,IP Address,71.191.38.61,100,90,True,2020-04-18 15:37:51,R_1SqhMYN8FpXlaBH,,,,,38.82080078125,-77.456298828125,anonymous,EN,Undergraduate student,,,,,Social Sciences,,I do not plan to pursue a double major,Liberal,Occasionally,To a large extent,To a moderate extent,To a moderate extent,,To a small extent,To a moderate extent,To a small extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:35:34,2020-04-18 15:38:04,IP Address,71.191.142.34,100,150,True,2020-04-18 15:38:05,R_1QoqV2FnOhZJS4U,,,,,38.9635009765625,-76.96720123291015625,anonymous,EN,Undergraduate student,,,,,STEM,,Social Sciences,Very liberal,Occasionally,To a large extent,To a large extent,To a large extent,,To a moderate extent,To a moderate extent,To a small extent,To a moderate extent,Yes,Undecided,,,,,,,,,,,,,,,
2020-04-18 15:36:57,2020-04-18 15:38:10,IP Address,73.154.225.132,100,73,True,2020-04-18 15:38:11,R_3lYdQRaxGnoyiFe,,,,,40.6385955810546875,-80.19609832763671875,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,I do not plan to pursue a double major,Very liberal,Occasionally,To a large extent,To an extremely large extent,To a moderate extent,,To a large extent,To a moderate extent,To a large extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:37:17,2020-04-18 15:38:14,IP Address,47.227.219.120,100,57,True,2020-04-18 15:38:15,R_3Pz5Val5fXierAM,,,,,39.971405029296875,-86.1295013427734375,anonymous,EN,Undergraduate student,,,,,Social Sciences,,STEM,Moderate/Centrist,Never,To a moderate extent,To no or a very minimal extent,To no or a very minimal extent,,To a large extent,To no or a very minimal extent,To an extremely large extent,To no or a very minimal extent,Yes,Undecided,,,,,,,,,,,,,,,
2020-04-18 15:35:56,2020-04-18 15:38:16,IP Address,128.36.7.10,100,140,True,2020-04-18 15:38:16,R_3KYHfEXs8Vcvkt7,,,,,41.318603515625,-72.93019866943359375,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Left of center,Never,To a moderate extent,To no or a very minimal extent,To a large extent,,To a small extent,To a moderate extent,To a small extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:37:15,2020-04-18 15:38:22,IP Address,98.210.226.210,100,66,True,2020-04-18 15:38:22,R_2uWdjavpjOmc8No,,,,,37.893798828125,-122.530303955078125,anonymous,EN,Undergraduate student,,,,,Social Sciences,,I do not plan to pursue a double major,Liberal,Never,To a moderate extent,To a small extent,To a small extent,,To a large extent,To a small extent,To a moderate extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:36:36,2020-04-18 15:38:27,IP Address,172.58.143.10,100,111,True,2020-04-18 15:38:27,R_YVplou5S3CO1QiJ,,,,,41.7696990966796875,-87.6985015869140625,anonymous,EN,Undergraduate student,,,,,STEM,,Social Sciences,Very liberal,Very Frequently,To a large extent,To a large extent,To a moderate extent,,To a small extent,To a moderate extent,To a large extent,To a small extent,Yes,Write in,Peace and Freedom Party,,,,,,,,,0,9,Positive,,,Unknown
2020-04-18 15:37:02,2020-04-18 15:38:31,IP Address,32.211.17.118,100,89,True,2020-04-18 15:38:31,R_2pKousxZRUBiNIO,,,,,41.5316925048828125,-72.79489898681640625,anonymous,EN,Undergraduate student,,,,,STEM,,,Liberal,Never,To a moderate extent,To no or a very minimal extent,To a small extent,,To a small extent,To a moderate extent,To a small extent,To a moderate extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:36:38,2020-04-18 15:38:37,IP Address,66.44.34.54,100,119,True,2020-04-18 15:38:37,R_3HSVuargzQw9vrV,,,,,38.9391937255859375,-77.05840301513671875,anonymous,EN,Undergraduate student,,,,,Social Sciences,,I do not plan to pursue a double major,Very liberal,Never,To a large extent,To a large extent,To a moderate extent,,To a small extent,To a small extent,To a small extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:35:25,2020-04-18 15:38:40,IP Address,173.66.188.94,100,194,True,2020-04-18 15:38:40,R_ysaWiefC8EHE2Rz,,,,,38.9779052734375,-77.080596923828125,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Liberal,Never,To a small extent,To no or a very minimal extent,To a moderate extent,,To a large extent,To a small extent,To a small extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:37:10,2020-04-18 15:38:42,IP Address,73.100.75.171,100,91,True,2020-04-18 15:38:42,R_2QKHbJRi8iBBp0B,,,,,44.43670654296875,-73.095703125,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Very liberal,Occasionally,To a moderate extent,To no or a very minimal extent,To a small extent,,To no or a very minimal extent,To a small extent,To a small extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:38:02,2020-04-18 15:38:49,IP Address,180.134.217.125,100,46,True,2020-04-18 15:38:49,R_1N9B7BynzClQ11f,,,,,36.3213958740234375,127.419708251953125,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Liberal,Never,To a moderate extent,To no or a very minimal extent,To a moderate extent,,To a small extent,To a small extent,To a moderate extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:37:47,2020-04-18 15:39:11,IP Address,72.234.134.106,100,84,True,2020-04-18 15:39:11,R_24uZjPPxlZo4Urj,,,,,21.29840087890625,-157.696197509765625,anonymous,EN,Undergraduate student,,,,,Social Sciences,,Social Sciences,Very liberal,Never,To a large extent,To a moderate extent,To a small extent,,To a moderate extent,To a moderate extent,To a moderate extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:37:49,2020-04-18 15:39:12,IP Address,74.138.152.31,100,82,True,2020-04-18 15:39:12,R_RUoWMp9ek7Y10HL,,,,,38.333404541015625,-85.46739959716796875,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Right of center,Never,To a moderate extent,To no or a very minimal extent,To a large extent,,To a small extent,To a small extent,To a moderate extent,To no or a very minimal extent,Yes,Write in,Andrew Yang,,,,,,,,,0,1,Positive,,,Unknown
2020-04-18 15:38:10,2020-04-18 15:39:16,IP Address,71.230.35.223,100,65,True,2020-04-18 15:39:16,R_3RgCEmITFBdOotm,,,,,40.0458984375,-75.53070068359375,anonymous,EN,Undergraduate student,,,,,Social Sciences,,I do not plan to pursue a double major,Left of center,Never,To a moderate extent,To a moderate extent,To a large extent,,To a moderate extent,To a moderate extent,To a moderate extent,To a moderate extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:38:28,2020-04-18 15:39:23,IP Address,173.91.56.85,100,54,True,2020-04-18 15:39:23,R_2U4KEGWoK3IGjwn,,,,,41.4951019287109375,-81.4656982421875,anonymous,EN,Undergraduate student,,,,,STEM,,STEM,Left of center,Never,To a moderate extent,To no or a very minimal extent,To no or a very minimal extent,,To a small extent,To a moderate extent,To an extremely large extent,To a small extent,Yes,Undecided,,,,,,,,,,,,,,,
2020-04-18 15:37:29,2020-04-18 15:39:23,IP Address,172.58.45.35,100,113,True,2020-04-18 15:39:23,R_1lB3mGQlhh95qch,,,,,47.3863983154296875,-122.18740081787109375,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Very liberal,Occasionally,To a moderate extent,To no or a very minimal extent,To a small extent,,To no or a very minimal extent,To a small extent,To no or a very minimal extent,To no or a very minimal extent,Yes,Write in,The Green nominee,,,,,,,,,0,1,Positive,,,Unknown
2020-04-18 15:37:20,2020-04-18 15:39:26,IP Address,98.33.28.81,100,125,True,2020-04-18 15:39:26,R_6swkf9W49wDP39v,,,,,37.4651031494140625,-122.14300537109375,anonymous,EN,Undergraduate student,,,,,Social Sciences,,,Conservative,Never,To a moderate extent,To a moderate extent,To a small extent,,To a large extent,To no or a very minimal extent,To a large extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:38:04,2020-04-18 15:39:30,IP Address,68.199.222.2,100,85,True,2020-04-18 15:39:30,R_ehZxkY9KImjaJj3,,,,,40.8199005126953125,-73.6183013916015625,anonymous,EN,Undergraduate student,,,,,Social Sciences,,I do not plan to pursue a double major,Liberal,Occasionally,To an extremely large extent,To an extremely large extent,To a moderate extent,,To a large extent,To a moderate extent,To a small extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:38:16,2020-04-18 15:39:30,IP Address,66.66.245.5,100,73,True,2020-04-18 15:39:30,R_3jSBTaaR0FGzIr4,,,,,43.0511932373046875,-75.877899169921875,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,STEM,Liberal,Never,To a small extent,To a small extent,To a small extent,,To a small extent,To a moderate extent,To no or a very minimal extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:38:29,2020-04-18 15:39:37,IP Address,24.187.168.39,100,68,True,2020-04-18 15:39:38,R_2Ce5EVbJvZ5KaXQ,,,,,41.0126953125,-73.845703125,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,I do not plan to pursue a double major,Very liberal,Never,To an extremely large extent,To a small extent,To a small extent,,To a moderate extent,To a small extent,To a moderate extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:36:48,2020-04-18 15:39:41,IP Address,172.58.12.69,100,172,True,2020-04-18 15:39:41,R_3h4TwlWJzKjmTdA,,,,,25.890594482421875,-80.17839813232421875,anonymous,EN,Undergraduate student,,,,,Social Sciences,,I do not plan to pursue a double major,Left of center,Never,To a moderate extent,To no or a very minimal extent,To a small extent,,To no or a very minimal extent,To a large extent,To a moderate extent,To a moderate extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:38:17,2020-04-18 15:39:42,IP Address,173.66.82.50,100,84,True,2020-04-18 15:39:42,R_1ibxRtS95FJrb3J,,,,,38.906402587890625,-77.12779998779296875,anonymous,EN,Undergraduate student,,,,,Social Sciences,,I do not plan to pursue a double major,Left of center,Never,To a small extent,To no or a very minimal extent,To a moderate extent,,To a small extent,To a moderate extent,To a moderate extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:37:43,2020-04-18 15:39:43,IP Address,107.77.216.197,100,120,True,2020-04-18 15:39:44,R_1q9c8mqcUFPho8l,,,,,28.635406494140625,-81.488800048828125,anonymous,EN,Undergraduate student,,,,,Social Sciences,,Foreign Language,Moderate/Centrist,Never,To a moderate extent,To a small extent,To a moderate extent,,To a moderate extent,To a small extent,To no or a very minimal extent,To a moderate extent,Undecided,,,,,I have not yet decided whether or not I support any of the current candidates,,,,,,,,,,,
2020-04-18 15:37:47,2020-04-18 15:39:46,IP Address,67.84.216.10,100,118,True,2020-04-18 15:39:46,R_3eqN6tesChnSC4b,,,,,40.631500244140625,-74.5102996826171875,anonymous,EN,Undergraduate student,,,,,Social Sciences,,Social Sciences,Liberal,Never,To no or a very minimal extent,To no or a very minimal extent,To a moderate extent,,To a small extent,To a moderate extent,To no or a very minimal extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:38:38,2020-04-18 15:39:46,IP Address,74.194.33.96,100,68,True,2020-04-18 15:39:46,R_dmoDynZoKEPzSFj,,,,,30.2281951904296875,-93.19190216064453125,anonymous,EN,Undergraduate student,,,,,STEM,,Social Sciences,Moderate/Centrist,Never,To a moderate extent,To no or a very minimal extent,To no or a very minimal extent,,To a moderate extent,To a small extent,To a large extent,To no or a very minimal extent,Yes,Undecided,,,,,,,,,,,,,,,
2020-04-18 15:38:08,2020-04-18 15:39:46,IP Address,98.209.13.187,100,98,True,2020-04-18 15:39:47,R_2drLc5Wh1mExO2g,,,,,42.568603515625,-83.066802978515625,anonymous,EN,Undergraduate student,,,,,Social Sciences,,Social Sciences,Moderate/Centrist,Never,To no or a very minimal extent,To a large extent,To a small extent,,To no or a very minimal extent,To a small extent,To a small extent,To no or a very minimal extent,Yes,Undecided,,,,,,,,,,,,,,,
2020-04-18 15:37:34,2020-04-18 15:39:46,IP Address,66.231.222.81,100,132,True,2020-04-18 15:39:47,R_cT4U7IRcU7WjU1H,,,,,44.0937957763671875,-70.2368011474609375,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Liberal,Never,To a small extent,To no or a very minimal extent,To a moderate extent,,To no or a very minimal extent,To a small extent,To a moderate extent,To no or a very minimal extent,Yes,Undecided,,,,,,,,,,,,,,,
2020-04-18 15:37:51,2020-04-18 15:39:49,IP Address,24.90.70.226,100,118,True,2020-04-18 15:39:49,R_1dGmbZQMByQPthT,,,,,40.7855072021484375,-73.8466033935546875,anonymous,EN,Undergraduate student,,,,,STEM,,Social Sciences,Liberal,Never,To a large extent,To a large extent,To an extremely large extent,,To a small extent,To a large extent,To a small extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:36:35,2020-04-18 15:40:00,IP Address,85.0.33.26,100,204,True,2020-04-18 15:40:01,R_1mQyFkd6amS4o1l,,,,,47.36639404296875,8.554595947265625,anonymous,EN,Undergraduate student,,,,,Social Sciences,,Foreign Language,Very liberal,Never,To a large extent,To a large extent,To a moderate extent,,To a moderate extent,To a moderate extent,To no or a very minimal extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:38:45,2020-04-18 15:40:05,IP Address,174.20.170.174,100,80,True,2020-04-18 15:40:06,R_PvxKatoDelGMp6p,,,,,44.998504638671875,-93.3029022216796875,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Liberal,Never,To a small extent,To a small extent,To a small extent,,To a small extent,To a small extent,To a small extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:38:32,2020-04-18 15:40:07,IP Address,72.132.119.36,100,94,True,2020-04-18 15:40:07,R_2ON1ry4W6pPplk9,,,,,33.72369384765625,-116.3802947998046875,anonymous,EN,Undergraduate student,,,,,Social Sciences,,I do not plan to pursue a double major,Conservative,Never,To a moderate extent,To no or a very minimal extent,To no or a very minimal extent,,To a small extent,To no or a very minimal extent,To a small extent,To no or a very minimal extent,Yes,The Republican nominee,,,,,,,,,,,,,,,
2020-04-18 15:36:12,2020-04-18 15:40:13,IP Address,32.210.13.23,100,240,True,2020-04-18 15:40:13,R_8iUGqsEqu06ja01,,,,,41.3148040771484375,-72.69940185546875,anonymous,EN,Faculty member,"Schools of Medicine, Public Health, or Nursing",,,,,,,Liberal,Occasionally,To a small extent,To no or a very minimal extent,To a moderate extent,To no or a very minimal extent,,To a moderate extent,To no or a very minimal extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:39:04,2020-04-18 15:40:23,IP Address,24.34.183.28,100,79,True,2020-04-18 15:40:23,R_1FrD1TvmyfUNPX5,,,,,41.318603515625,-72.93019866943359375,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,I do not plan to pursue a double major,Very liberal,Occasionally,To an extremely large extent,To a large extent,To a large extent,,To a moderate extent,To a large extent,To a moderate extent,To an extremely large extent,Yes,Undecided,,,,,,,,,,,,,,,
2020-04-18 15:37:42,2020-04-18 15:40:34,IP Address,24.218.138.61,100,172,True,2020-04-18 15:40:34,R_25WvHDrBWwvgoAq,,,,,41.318603515625,-72.93019866943359375,anonymous,EN,Faculty member,"Schools of Medicine, Public Health, or Nursing",,,,,,,Moderate/Centrist,Never,To a large extent,To no or a very minimal extent,To a moderate extent,To a moderate extent,,To a small extent,To no or a very minimal extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:31:01,2020-04-18 15:40:35,IP Address,202.134.171.105,100,573,True,2020-04-18 15:40:35,R_ulkToTPnKdbgo6d,,,,,19.074798583984375,72.8856048583984375,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,I do not plan to pursue a double major,Very liberal,Never,To an extremely large extent,To no or a very minimal extent,To a small extent,,To a moderate extent,To no or a very minimal extent,To no or a very minimal extent,To no or a very minimal extent,No,,,I am not allowed to vote in US presidential elections,,,,,,,,,,,,,
2020-04-18 15:39:24,2020-04-18 15:40:44,IP Address,187.95.179.137,100,79,True,2020-04-18 15:40:44,R_1duGLWLku31vBmf,,,,,-23.14520263671875,-47.0635986328125,anonymous,EN,Undergraduate student,,,,,STEM,,STEM,Very liberal,Never,To a moderate extent,To an extremely large extent,To a small extent,,To a small extent,To a large extent,To a large extent,To a large extent,No,,,I am not allowed to vote in US presidential elections,,,,,,,,,,,,,
2020-04-18 15:37:12,2020-04-18 15:40:46,IP Address,99.203.56.126,100,213,True,2020-04-18 15:40:46,R_3kLhXDh1dw4l2LP,,,,,42.103302001953125,-72.591400146484375,anonymous,EN,Undergraduate student,,,,,Social Sciences,,STEM,Right of center,Never,To a small extent,To a moderate extent,To a moderate extent,,To a small extent,To a small extent,To a moderate extent,To no or a very minimal extent,Undecided,,,,,I have not yet decided whether or not I support any of the current candidates,,,,,,,,,,,
2020-04-18 15:39:07,2020-04-18 15:40:50,IP Address,71.198.158.21,100,102,True,2020-04-18 15:40:50,R_2fGVNg4HFMPohs3,,,,,36.5802001953125,-121.84429931640625,anonymous,EN,Undergraduate student,,,,,Social Sciences,,Foreign Language,Right of center,Never,To a moderate extent,To no or a very minimal extent,To a small extent,,To a small extent,To no or a very minimal extent,To a moderate extent,To no or a very minimal extent,Yes,Undecided,,,,,,,,,,,,,,,
