Year,Institution,Campus,Institution Size,Category,Location,Subcategory,Number
2009,Yale University,Main Campus,11593,Criminal offenses,On campus student housing facilities,Rape,0
2010,Yale University,Main Campus,11701,Criminal offenses,On campus student housing facilities,Rape,0
2011,Yale University,Main Campus,11875,Criminal offenses,On campus student housing facilities,Rape,0
2012,Yale University,Main Campus,11906,Criminal offenses,On campus student housing facilities,Rape,0
2013,Yale University,Main Campus,12109,Criminal offenses,On campus student housing facilities,Rape,0
2014,Yale University,Main Campus,12336,Criminal offenses,On campus student housing facilities,Rape,11
2015,Yale University,Main Campus,12385,Criminal offenses,On campus student housing facilities,Rape,16
2016,Yale University,Main Campus,12458,Criminal offenses,On campus student housing facilities,Rape,18
2017,Yale University,Main Campus,12974,Criminal offenses,On campus student housing facilities,Rape,10
2001,Yale University,Main Campus,11136,Criminal offenses,On campus student housing facilities,Fondling,0
2002,Yale University,Main Campus,11378,Criminal offenses,On campus student housing facilities,Fondling,0
2003,Yale University,Main Campus,11471,Criminal offenses,On campus student housing facilities,Fondling,0
2004,Yale University,Main Campus,11441,Criminal offenses,On campus student housing facilities,Fondling,0
2005,Yale University,Main Campus,11483,Criminal offenses,On campus student housing facilities,Fondling,0
2006,Yale University,Main Campus,11415,Criminal offenses,On campus student housing facilities,Fondling,0
2007,Yale University,Main Campus,11454,Criminal offenses,On campus student housing facilities,Fondling,0
2008,Yale University,Main Campus,10192,Criminal offenses,On campus student housing facilities,Fondling,0
2009,Yale University,Main Campus,11593,Criminal offenses,On campus student housing facilities,Fondling,0
2010,Yale University,Main Campus,11701,Criminal offenses,On campus student housing facilities,Fondling,0
2011,Yale University,Main Campus,11875,Criminal offenses,On campus student housing facilities,Fondling,0
2012,Yale University,Main Campus,11906,Criminal offenses,On campus student housing facilities,Fondling,0
2013,Yale University,Main Campus,12109,Criminal offenses,On campus student housing facilities,Fondling,0
2014,Yale University,Main Campus,12336,Criminal offenses,On campus student housing facilities,Fondling,2
2015,Yale University,Main Campus,12385,Criminal offenses,On campus student housing facilities,Fondling,4
2016,Yale University,Main Campus,12458,Criminal offenses,On campus student housing facilities,Fondling,5
2017,Yale University,Main Campus,12974,Criminal offenses,On campus student housing facilities,Fondling,4
2001,Yale University,Main Campus,11136,Criminal offenses,On campus student housing facilities,Sex offenses - Non-forcible,0
2002,Yale University,Main Campus,11378,Criminal offenses,On campus student housing facilities,Sex offenses - Non-forcible,0
2003,Yale University,Main Campus,11471,Criminal offenses,On campus student housing facilities,Sex offenses - Non-forcible,0
2004,Yale University,Main Campus,11441,Criminal offenses,On campus student housing facilities,Sex offenses - Non-forcible,0
2005,Yale University,Main Campus,11483,Criminal offenses,On campus student housing facilities,Sex offenses - Non-forcible,0
2006,Yale University,Main Campus,11415,Criminal offenses,On campus student housing facilities,Sex offenses - Non-forcible,0
2007,Yale University,Main Campus,11454,Criminal offenses,On campus student housing facilities,Sex offenses - Non-forcible,0
2008,Yale University,Main Campus,10192,Criminal offenses,On campus student housing facilities,Sex offenses - Non-forcible,0
2009,Yale University,Main Campus,11593,Criminal offenses,On campus student housing facilities,Sex offenses - Non-forcible,0
2010,Yale University,Main Campus,11701,Criminal offenses,On campus student housing facilities,Sex offenses - Non-forcible,0
2011,Yale University,Main Campus,11875,Criminal offenses,On campus student housing facilities,Sex offenses - Non-forcible,0
2012,Yale University,Main Campus,11906,Criminal offenses,On campus student housing facilities,Sex offenses - Non-forcible,0
2013,Yale University,Main Campus,12109,Criminal offenses,On campus student housing facilities,Sex offenses - Non-forcible,0
2014,Yale University,Main Campus,12336,Criminal offenses,On campus student housing facilities,Sex offenses - Non-forcible,0
2015,Yale University,Main Campus,12385,Criminal offenses,On campus student housing facilities,Sex offenses - Non-forcible,0
2016,Yale University,Main Campus,12458,Criminal offenses,On campus student housing facilities,Sex offenses - Non-forcible,0
2017,Yale University,Main Campus,12974,Criminal offenses,On campus student housing facilities,Sex offenses - Non-forcible,0
2001,Yale University,Main Campus,11136,Criminal offenses,On campus student housing facilities,Incest,0
2002,Yale University,Main Campus,11378,Criminal offenses,On campus student housing facilities,Incest,0
2003,Yale University,Main Campus,11471,Criminal offenses,On campus student housing facilities,Incest,0
2004,Yale University,Main Campus,11441,Criminal offenses,On campus student housing facilities,Incest,0
2005,Yale University,Main Campus,11483,Criminal offenses,On campus student housing facilities,Incest,0
2006,Yale University,Main Campus,11415,Criminal offenses,On campus student housing facilities,Incest,0
2007,Yale University,Main Campus,11454,Criminal offenses,On campus student housing facilities,Incest,0
2008,Yale University,Main Campus,10192,Criminal offenses,On campus student housing facilities,Incest,0
2009,Yale University,Main Campus,11593,Criminal offenses,On campus student housing facilities,Incest,0
2010,Yale University,Main Campus,11701,Criminal offenses,On campus student housing facilities,Incest,0
2011,Yale University,Main Campus,11875,Criminal offenses,On campus student housing facilities,Incest,0
2012,Yale University,Main Campus,11906,Criminal offenses,On campus student housing facilities,Incest,0
2013,Yale University,Main Campus,12109,Criminal offenses,On campus student housing facilities,Incest,0
2014,Yale University,Main Campus,12336,Criminal offenses,On campus student housing facilities,Incest,0
2015,Yale University,Main Campus,12385,Criminal offenses,On campus student housing facilities,Incest,0
2016,Yale University,Main Campus,12458,Criminal offenses,On campus student housing facilities,Incest,0
2017,Yale University,Main Campus,12974,Criminal offenses,On campus student housing facilities,Incest,0
2001,Yale University,Main Campus,11136,Criminal offenses,On campus student housing facilities,Statutory rape,0
2002,Yale University,Main Campus,11378,Criminal offenses,On campus student housing facilities,Statutory rape,0
2003,Yale University,Main Campus,11471,Criminal offenses,On campus student housing facilities,Statutory rape,0
2004,Yale University,Main Campus,11441,Criminal offenses,On campus student housing facilities,Statutory rape,0
2005,Yale University,Main Campus,11483,Criminal offenses,On campus student housing facilities,Statutory rape,0
2006,Yale University,Main Campus,11415,Criminal offenses,On campus student housing facilities,Statutory rape,0
2007,Yale University,Main Campus,11454,Criminal offenses,On campus student housing facilities,Statutory rape,0
2008,Yale University,Main Campus,10192,Criminal offenses,On campus student housing facilities,Statutory rape,0
2009,Yale University,Main Campus,11593,Criminal offenses,On campus student housing facilities,Statutory rape,0
2010,Yale University,Main Campus,11701,Criminal offenses,On campus student housing facilities,Statutory rape,0
2011,Yale University,Main Campus,11875,Criminal offenses,On campus student housing facilities,Statutory rape,0
2012,Yale University,Main Campus,11906,Criminal offenses,On campus student housing facilities,Statutory rape,0
2013,Yale University,Main Campus,12109,Criminal offenses,On campus student housing facilities,Statutory rape,0
2014,Yale University,Main Campus,12336,Criminal offenses,On campus student housing facilities,Statutory rape,0
2015,Yale University,Main Campus,12385,Criminal offenses,On campus student housing facilities,Statutory rape,0
2016,Yale University,Main Campus,12458,Criminal offenses,On campus student housing facilities,Statutory rape,0
2017,Yale University,Main Campus,12974,Criminal offenses,On campus student housing facilities,Statutory rape,0
2001,Yale University,Main Campus,11136,Criminal offenses,On campus student housing facilities,Robbery,1
2002,Yale University,Main Campus,11378,Criminal offenses,On campus student housing facilities,Robbery,1
2003,Yale University,Main Campus,11471,Criminal offenses,On campus student housing facilities,Robbery,0
2004,Yale University,Main Campus,11441,Criminal offenses,On campus student housing facilities,Robbery,0
2005,Yale University,Main Campus,11483,Criminal offenses,On campus student housing facilities,Robbery,0
2006,Yale University,Main Campus,11415,Criminal offenses,On campus student housing facilities,Robbery,0
2007,Yale University,Main Campus,11454,Criminal offenses,On campus student housing facilities,Robbery,0
2008,Yale University,Main Campus,10192,Criminal offenses,On campus student housing facilities,Robbery,0
2009,Yale University,Main Campus,11593,Criminal offenses,On campus student housing facilities,Robbery,0
2010,Yale University,Main Campus,11701,Criminal offenses,On campus student housing facilities,Robbery,0
2011,Yale University,Main Campus,11875,Criminal offenses,On campus student housing facilities,Robbery,0
2012,Yale University,Main Campus,11906,Criminal offenses,On campus student housing facilities,Robbery,0
2013,Yale University,Main Campus,12109,Criminal offenses,On campus student housing facilities,Robbery,0
2014,Yale University,Main Campus,12336,Criminal offenses,On campus student housing facilities,Robbery,0
2015,Yale University,Main Campus,12385,Criminal offenses,On campus student housing facilities,Robbery,1
2016,Yale University,Main Campus,12458,Criminal offenses,On campus student housing facilities,Robbery,0
2017,Yale University,Main Campus,12974,Criminal offenses,On campus student housing facilities,Robbery,1
2001,Yale University,Main Campus,11136,Criminal offenses,On campus student housing facilities,Aggravated assault,0
2002,Yale University,Main Campus,11378,Criminal offenses,On campus student housing facilities,Aggravated assault,0
2003,Yale University,Main Campus,11471,Criminal offenses,On campus student housing facilities,Aggravated assault,0
2004,Yale University,Main Campus,11441,Criminal offenses,On campus student housing facilities,Aggravated assault,0
2005,Yale University,Main Campus,11483,Criminal offenses,On campus student housing facilities,Aggravated assault,0
2006,Yale University,Main Campus,11415,Criminal offenses,On campus student housing facilities,Aggravated assault,0
2007,Yale University,Main Campus,11454,Criminal offenses,On campus student housing facilities,Aggravated assault,0
2008,Yale University,Main Campus,10192,Criminal offenses,On campus student housing facilities,Aggravated assault,0
2009,Yale University,Main Campus,11593,Criminal offenses,On campus student housing facilities,Aggravated assault,0
2010,Yale University,Main Campus,11701,Criminal offenses,On campus student housing facilities,Aggravated assault,0
2011,Yale University,Main Campus,11875,Criminal offenses,On campus student housing facilities,Aggravated assault,0
2012,Yale University,Main Campus,11906,Criminal offenses,On campus student housing facilities,Aggravated assault,3
2013,Yale University,Main Campus,12109,Criminal offenses,On campus student housing facilities,Aggravated assault,0
2014,Yale University,Main Campus,12336,Criminal offenses,On campus student housing facilities,Aggravated assault,0
2015,Yale University,Main Campus,12385,Criminal offenses,On campus student housing facilities,Aggravated assault,1
2016,Yale University,Main Campus,12458,Criminal offenses,On campus student housing facilities,Aggravated assault,0
2017,Yale University,Main Campus,12974,Criminal offenses,On campus student housing facilities,Aggravated assault,0
2001,Yale University,Main Campus,11136,Criminal offenses,On campus student housing facilities,Burglary,27
2002,Yale University,Main Campus,11378,Criminal offenses,On campus student housing facilities,Burglary,16
2003,Yale University,Main Campus,11471,Criminal offenses,On campus student housing facilities,Burglary,28
2004,Yale University,Main Campus,11441,Criminal offenses,On campus student housing facilities,Burglary,38
2005,Yale University,Main Campus,11483,Criminal offenses,On campus student housing facilities,Burglary,35
2006,Yale University,Main Campus,11415,Criminal offenses,On campus student housing facilities,Burglary,52
2007,Yale University,Main Campus,11454,Criminal offenses,On campus student housing facilities,Burglary,58
2008,Yale University,Main Campus,10192,Criminal offenses,On campus student housing facilities,Burglary,23
2009,Yale University,Main Campus,11593,Criminal offenses,On campus student housing facilities,Burglary,38
2010,Yale University,Main Campus,11701,Criminal offenses,On campus student housing facilities,Burglary,15
2011,Yale University,Main Campus,11875,Criminal offenses,On campus student housing facilities,Burglary,18
2012,Yale University,Main Campus,11906,Criminal offenses,On campus student housing facilities,Burglary,27
2013,Yale University,Main Campus,12109,Criminal offenses,On campus student housing facilities,Burglary,41
2014,Yale University,Main Campus,12336,Criminal offenses,On campus student housing facilities,Burglary,17
2015,Yale University,Main Campus,12385,Criminal offenses,On campus student housing facilities,Burglary,60
2016,Yale University,Main Campus,12458,Criminal offenses,On campus student housing facilities,Burglary,12
2017,Yale University,Main Campus,12974,Criminal offenses,On campus student housing facilities,Burglary,23
2001,Yale University,Main Campus,11136,Criminal offenses,On campus student housing facilities,Motor vehicle theft,0
2002,Yale University,Main Campus,11378,Criminal offenses,On campus student housing facilities,Motor vehicle theft,0
2003,Yale University,Main Campus,11471,Criminal offenses,On campus student housing facilities,Motor vehicle theft,0
2004,Yale University,Main Campus,11441,Criminal offenses,On campus student housing facilities,Motor vehicle theft,0
2005,Yale University,Main Campus,11483,Criminal offenses,On campus student housing facilities,Motor vehicle theft,0
2006,Yale University,Main Campus,11415,Criminal offenses,On campus student housing facilities,Motor vehicle theft,0
2007,Yale University,Main Campus,11454,Criminal offenses,On campus student housing facilities,Motor vehicle theft,0
2008,Yale University,Main Campus,10192,Criminal offenses,On campus student housing facilities,Motor vehicle theft,0
2009,Yale University,Main Campus,11593,Criminal offenses,On campus student housing facilities,Motor vehicle theft,0
2010,Yale University,Main Campus,11701,Criminal offenses,On campus student housing facilities,Motor vehicle theft,0
2011,Yale University,Main Campus,11875,Criminal offenses,On campus student housing facilities,Motor vehicle theft,0
2012,Yale University,Main Campus,11906,Criminal offenses,On campus student housing facilities,Motor vehicle theft,0
2013,Yale University,Main Campus,12109,Criminal offenses,On campus student housing facilities,Motor vehicle theft,0
2014,Yale University,Main Campus,12336,Criminal offenses,On campus student housing facilities,Motor vehicle theft,0
2015,Yale University,Main Campus,12385,Criminal offenses,On campus student housing facilities,Motor vehicle theft,0
2016,Yale University,Main Campus,12458,Criminal offenses,On campus student housing facilities,Motor vehicle theft,0
2017,Yale University,Main Campus,12974,Criminal offenses,On campus student housing facilities,Motor vehicle theft,0
2001,Yale University,Main Campus,11136,Criminal offenses,On campus student housing facilities,Arson,0
2002,Yale University,Main Campus,11378,Criminal offenses,On campus student housing facilities,Arson,0
2003,Yale University,Main Campus,11471,Criminal offenses,On campus student housing facilities,Arson,0
2004,Yale University,Main Campus,11441,Criminal offenses,On campus student housing facilities,Arson,0
2005,Yale University,Main Campus,11483,Criminal offenses,On campus student housing facilities,Arson,0
2006,Yale University,Main Campus,11415,Criminal offenses,On campus student housing facilities,Arson,0
2007,Yale University,Main Campus,11454,Criminal offenses,On campus student housing facilities,Arson,0
2008,Yale University,Main Campus,10192,Criminal offenses,On campus student housing facilities,Arson,0
2009,Yale University,Main Campus,11593,Criminal offenses,On campus student housing facilities,Arson,1
2010,Yale University,Main Campus,11701,Criminal offenses,On campus student housing facilities,Arson,0
2011,Yale University,Main Campus,11875,Criminal offenses,On campus student housing facilities,Arson,2
2012,Yale University,Main Campus,11906,Criminal offenses,On campus student housing facilities,Arson,0
2013,Yale University,Main Campus,12109,Criminal offenses,On campus student housing facilities,Arson,0
2014,Yale University,Main Campus,12336,Criminal offenses,On campus student housing facilities,Arson,0
2015,Yale University,Main Campus,12385,Criminal offenses,On campus student housing facilities,Arson,0
2016,Yale University,Main Campus,12458,Criminal offenses,On campus student housing facilities,Arson,0
2017,Yale University,Main Campus,12974,Criminal offenses,On campus student housing facilities,Arson,0
2001,Yale University,Main Campus,11136,Criminal offenses,Public property,Murder/Non-negligent manslaughter,0
2002,Yale University,Main Campus,11378,Criminal offenses,Public property,Murder/Non-negligent manslaughter,0
2003,Yale University,Main Campus,11471,Criminal offenses,Public property,Murder/Non-negligent manslaughter,0
2004,Yale University,Main Campus,11441,Criminal offenses,Public property,Murder/Non-negligent manslaughter,0
2005,Yale University,Main Campus,11483,Criminal offenses,Public property,Murder/Non-negligent manslaughter,0
2006,Yale University,Main Campus,11415,Criminal offenses,Public property,Murder/Non-negligent manslaughter,0
2007,Yale University,Main Campus,11454,Criminal offenses,Public property,Murder/Non-negligent manslaughter,0
2008,Yale University,Main Campus,10192,Criminal offenses,Public property,Murder/Non-negligent manslaughter,0
2009,Yale University,Main Campus,11593,Criminal offenses,Public property,Murder/Non-negligent manslaughter,0
2010,Yale University,Main Campus,11701,Criminal offenses,Public property,Murder/Non-negligent manslaughter,0
2011,Yale University,Main Campus,11875,Criminal offenses,Public property,Murder/Non-negligent manslaughter,0
2012,Yale University,Main Campus,11906,Criminal offenses,Public property,Murder/Non-negligent manslaughter,0
2013,Yale University,Main Campus,12109,Criminal offenses,Public property,Murder/Non-negligent manslaughter,1
2014,Yale University,Main Campus,12336,Criminal offenses,Public property,Murder/Non-negligent manslaughter,0
2015,Yale University,Main Campus,12385,Criminal offenses,Public property,Murder/Non-negligent manslaughter,0
2016,Yale University,Main Campus,12458,Criminal offenses,Public property,Murder/Non-negligent manslaughter,0
2017,Yale University,Main Campus,12974,Criminal offenses,Public property,Murder/Non-negligent manslaughter,0
2001,Yale University,Main Campus,11136,Criminal offenses,Public property,Negligent manslaughter,0
2002,Yale University,Main Campus,11378,Criminal offenses,Public property,Negligent manslaughter,0
2003,Yale University,Main Campus,11471,Criminal offenses,Public property,Negligent manslaughter,0
2004,Yale University,Main Campus,11441,Criminal offenses,Public property,Negligent manslaughter,0
2005,Yale University,Main Campus,11483,Criminal offenses,Public property,Negligent manslaughter,0
2006,Yale University,Main Campus,11415,Criminal offenses,Public property,Negligent manslaughter,0
2007,Yale University,Main Campus,11454,Criminal offenses,Public property,Negligent manslaughter,0
2008,Yale University,Main Campus,10192,Criminal offenses,Public property,Negligent manslaughter,0
2009,Yale University,Main Campus,11593,Criminal offenses,Public property,Negligent manslaughter,0
2010,Yale University,Main Campus,11701,Criminal offenses,Public property,Negligent manslaughter,0
2011,Yale University,Main Campus,11875,Criminal offenses,Public property,Negligent manslaughter,0
2012,Yale University,Main Campus,11906,Criminal offenses,Public property,Negligent manslaughter,0
2013,Yale University,Main Campus,12109,Criminal offenses,Public property,Negligent manslaughter,0
2014,Yale University,Main Campus,12336,Criminal offenses,Public property,Negligent manslaughter,0
2015,Yale University,Main Campus,12385,Criminal offenses,Public property,Negligent manslaughter,0
2016,Yale University,Main Campus,12458,Criminal offenses,Public property,Negligent manslaughter,0
2017,Yale University,Main Campus,12974,Criminal offenses,Public property,Negligent manslaughter,0
2001,Yale University,Main Campus,11136,Criminal offenses,Public property,Sex offenses - Forcible,1
2002,Yale University,Main Campus,11378,Criminal offenses,Public property,Sex offenses - Forcible,0
2003,Yale University,Main Campus,11471,Criminal offenses,Public property,Sex offenses - Forcible,3
2004,Yale University,Main Campus,11441,Criminal offenses,Public property,Sex offenses - Forcible,10
2005,Yale University,Main Campus,11483,Criminal offenses,Public property,Sex offenses - Forcible,1
2006,Yale University,Main Campus,11415,Criminal offenses,Public property,Sex offenses - Forcible,1
2007,Yale University,Main Campus,11454,Criminal offenses,Public property,Sex offenses - Forcible,1
2008,Yale University,Main Campus,10192,Criminal offenses,Public property,Sex offenses - Forcible,1
2009,Yale University,Main Campus,11593,Criminal offenses,Public property,Sex offenses - Forcible,0
2010,Yale University,Main Campus,11701,Criminal offenses,Public property,Sex offenses - Forcible,2
2011,Yale University,Main Campus,11875,Criminal offenses,Public property,Sex offenses - Forcible,2
2012,Yale University,Main Campus,11906,Criminal offenses,Public property,Sex offenses - Forcible,0
2013,Yale University,Main Campus,12109,Criminal offenses,Public property,Sex offenses - Forcible,0
2014,Yale University,Main Campus,12336,Criminal offenses,Public property,Sex offenses - Forcible,0
2015,Yale University,Main Campus,12385,Criminal offenses,Public property,Sex offenses - Forcible,0
2016,Yale University,Main Campus,12458,Criminal offenses,Public property,Sex offenses - Forcible,0
2017,Yale University,Main Campus,12974,Criminal offenses,Public property,Sex offenses - Forcible,0
2001,Yale University,Main Campus,11136,Criminal offenses,Public property,Rape,0
2002,Yale University,Main Campus,11378,Criminal offenses,Public property,Rape,0
2003,Yale University,Main Campus,11471,Criminal offenses,Public property,Rape,0
2004,Yale University,Main Campus,11441,Criminal offenses,Public property,Rape,0
2005,Yale University,Main Campus,11483,Criminal offenses,Public property,Rape,0
2006,Yale University,Main Campus,11415,Criminal offenses,Public property,Rape,0
2007,Yale University,Main Campus,11454,Criminal offenses,Public property,Rape,0
2008,Yale University,Main Campus,10192,Criminal offenses,Public property,Rape,0
2009,Yale University,Main Campus,11593,Criminal offenses,Public property,Rape,0
2010,Yale University,Main Campus,11701,Criminal offenses,Public property,Rape,0
2011,Yale University,Main Campus,11875,Criminal offenses,Public property,Rape,0
2012,Yale University,Main Campus,11906,Criminal offenses,Public property,Rape,0
2013,Yale University,Main Campus,12109,Criminal offenses,Public property,Rape,0
2014,Yale University,Main Campus,12336,Criminal offenses,Public property,Rape,0
2015,Yale University,Main Campus,12385,Criminal offenses,Public property,Rape,0
2016,Yale University,Main Campus,12458,Criminal offenses,Public property,Rape,1
2017,Yale University,Main Campus,12974,Criminal offenses,Public property,Rape,0
2001,Yale University,Main Campus,11136,Criminal offenses,Public property,Fondling,0
2002,Yale University,Main Campus,11378,Criminal offenses,Public property,Fondling,0
2003,Yale University,Main Campus,11471,Criminal offenses,Public property,Fondling,0
2004,Yale University,Main Campus,11441,Criminal offenses,Public property,Fondling,0
2005,Yale University,Main Campus,11483,Criminal offenses,Public property,Fondling,0
2006,Yale University,Main Campus,11415,Criminal offenses,Public property,Fondling,0
2007,Yale University,Main Campus,11454,Criminal offenses,Public property,Fondling,0
2008,Yale University,Main Campus,10192,Criminal offenses,Public property,Fondling,0
2009,Yale University,Main Campus,11593,Criminal offenses,Public property,Fondling,0
2010,Yale University,Main Campus,11701,Criminal offenses,Public property,Fondling,0
2011,Yale University,Main Campus,11875,Criminal offenses,Public property,Fondling,0
2012,Yale University,Main Campus,11906,Criminal offenses,Public property,Fondling,0
2013,Yale University,Main Campus,12109,Criminal offenses,Public property,Fondling,0
2014,Yale University,Main Campus,12336,Criminal offenses,Public property,Fondling,1
2015,Yale University,Main Campus,12385,Criminal offenses,Public property,Fondling,3
2016,Yale University,Main Campus,12458,Criminal offenses,Public property,Fondling,0
2017,Yale University,Main Campus,12974,Criminal offenses,Public property,Fondling,2
2001,Yale University,Main Campus,11136,Criminal offenses,Public property,Sex offenses - Non-forcible,0
2002,Yale University,Main Campus,11378,Criminal offenses,Public property,Sex offenses - Non-forcible,0
2003,Yale University,Main Campus,11471,Criminal offenses,Public property,Sex offenses - Non-forcible,0
2004,Yale University,Main Campus,11441,Criminal offenses,Public property,Sex offenses - Non-forcible,0
2005,Yale University,Main Campus,11483,Criminal offenses,Public property,Sex offenses - Non-forcible,0
2006,Yale University,Main Campus,11415,Criminal offenses,Public property,Sex offenses - Non-forcible,0
2007,Yale University,Main Campus,11454,Criminal offenses,Public property,Sex offenses - Non-forcible,0
2008,Yale University,Main Campus,10192,Criminal offenses,Public property,Sex offenses - Non-forcible,0
2009,Yale University,Main Campus,11593,Criminal offenses,Public property,Sex offenses - Non-forcible,0
2010,Yale University,Main Campus,11701,Criminal offenses,Public property,Sex offenses - Non-forcible,0
2011,Yale University,Main Campus,11875,Criminal offenses,Public property,Sex offenses - Non-forcible,0
2012,Yale University,Main Campus,11906,Criminal offenses,Public property,Sex offenses - Non-forcible,0
2013,Yale University,Main Campus,12109,Criminal offenses,Public property,Sex offenses - Non-forcible,0
2014,Yale University,Main Campus,12336,Criminal offenses,Public property,Sex offenses - Non-forcible,0
2015,Yale University,Main Campus,12385,Criminal offenses,Public property,Sex offenses - Non-forcible,0
2016,Yale University,Main Campus,12458,Criminal offenses,Public property,Sex offenses - Non-forcible,0
2017,Yale University,Main Campus,12974,Criminal offenses,Public property,Sex offenses - Non-forcible,0
2001,Yale University,Main Campus,11136,Criminal offenses,Public property,Incest,0
2002,Yale University,Main Campus,11378,Criminal offenses,Public property,Incest,0
2003,Yale University,Main Campus,11471,Criminal offenses,Public property,Incest,0
2004,Yale University,Main Campus,11441,Criminal offenses,Public property,Incest,0
2005,Yale University,Main Campus,11483,Criminal offenses,Public property,Incest,0
2006,Yale University,Main Campus,11415,Criminal offenses,Public property,Incest,0
2007,Yale University,Main Campus,11454,Criminal offenses,Public property,Incest,0
2008,Yale University,Main Campus,10192,Criminal offenses,Public property,Incest,0
2009,Yale University,Main Campus,11593,Criminal offenses,Public property,Incest,0
2010,Yale University,Main Campus,11701,Criminal offenses,Public property,Incest,0
2011,Yale University,Main Campus,11875,Criminal offenses,Public property,Incest,0
2012,Yale University,Main Campus,11906,Criminal offenses,Public property,Incest,0
2013,Yale University,Main Campus,12109,Criminal offenses,Public property,Incest,0
2014,Yale University,Main Campus,12336,Criminal offenses,Public property,Incest,0
2015,Yale University,Main Campus,12385,Criminal offenses,Public property,Incest,0
2016,Yale University,Main Campus,12458,Criminal offenses,Public property,Incest,0
2017,Yale University,Main Campus,12974,Criminal offenses,Public property,Incest,0
2001,Yale University,Main Campus,11136,Criminal offenses,Public property,Statutory rape,0
2002,Yale University,Main Campus,11378,Criminal offenses,Public property,Statutory rape,0
2003,Yale University,Main Campus,11471,Criminal offenses,Public property,Statutory rape,0
2004,Yale University,Main Campus,11441,Criminal offenses,Public property,Statutory rape,0
2005,Yale University,Main Campus,11483,Criminal offenses,Public property,Statutory rape,0
2006,Yale University,Main Campus,11415,Criminal offenses,Public property,Statutory rape,0
2007,Yale University,Main Campus,11454,Criminal offenses,Public property,Statutory rape,0
2008,Yale University,Main Campus,10192,Criminal offenses,Public property,Statutory rape,0
2009,Yale University,Main Campus,11593,Criminal offenses,Public property,Statutory rape,0
2010,Yale University,Main Campus,11701,Criminal offenses,Public property,Statutory rape,0
2011,Yale University,Main Campus,11875,Criminal offenses,Public property,Statutory rape,0
2012,Yale University,Main Campus,11906,Criminal offenses,Public property,Statutory rape,0
2013,Yale University,Main Campus,12109,Criminal offenses,Public property,Statutory rape,0
2014,Yale University,Main Campus,12336,Criminal offenses,Public property,Statutory rape,0
2015,Yale University,Main Campus,12385,Criminal offenses,Public property,Statutory rape,0
2016,Yale University,Main Campus,12458,Criminal offenses,Public property,Statutory rape,0
2017,Yale University,Main Campus,12974,Criminal offenses,Public property,Statutory rape,0
2001,Yale University,Main Campus,11136,Criminal offenses,Public property,Robbery,11
2002,Yale University,Main Campus,11378,Criminal offenses,Public property,Robbery,16
2003,Yale University,Main Campus,11471,Criminal offenses,Public property,Robbery,12
2004,Yale University,Main Campus,11441,Criminal offenses,Public property,Robbery,34
2005,Yale University,Main Campus,11483,Criminal offenses,Public property,Robbery,19
2006,Yale University,Main Campus,11415,Criminal offenses,Public property,Robbery,20
2007,Yale University,Main Campus,11454,Criminal offenses,Public property,Robbery,9
2008,Yale University,Main Campus,10192,Criminal offenses,Public property,Robbery,11
2009,Yale University,Main Campus,11593,Criminal offenses,Public property,Robbery,7
2010,Yale University,Main Campus,11701,Criminal offenses,Public property,Robbery,11
2011,Yale University,Main Campus,11875,Criminal offenses,Public property,Robbery,23
2012,Yale University,Main Campus,11906,Criminal offenses,Public property,Robbery,20
2013,Yale University,Main Campus,12109,Criminal offenses,Public property,Robbery,18
2014,Yale University,Main Campus,12336,Criminal offenses,Public property,Robbery,27
2015,Yale University,Main Campus,12385,Criminal offenses,Public property,Robbery,18
2016,Yale University,Main Campus,12458,Criminal offenses,Public property,Robbery,12
2017,Yale University,Main Campus,12974,Criminal offenses,Public property,Robbery,5
2001,Yale University,Main Campus,11136,Criminal offenses,Public property,Aggravated assault,0
2002,Yale University,Main Campus,11378,Criminal offenses,Public property,Aggravated assault,2
2003,Yale University,Main Campus,11471,Criminal offenses,Public property,Aggravated assault,3
2004,Yale University,Main Campus,11441,Criminal offenses,Public property,Aggravated assault,2
2005,Yale University,Main Campus,11483,Criminal offenses,Public property,Aggravated assault,0
2006,Yale University,Main Campus,11415,Criminal offenses,Public property,Aggravated assault,1
2007,Yale University,Main Campus,11454,Criminal offenses,Public property,Aggravated assault,0
2008,Yale University,Main Campus,10192,Criminal offenses,Public property,Aggravated assault,1
2009,Yale University,Main Campus,11593,Criminal offenses,Public property,Aggravated assault,0
2010,Yale University,Main Campus,11701,Criminal offenses,Public property,Aggravated assault,1
2011,Yale University,Main Campus,11875,Criminal offenses,Public property,Aggravated assault,4
2012,Yale University,Main Campus,11906,Criminal offenses,Public property,Aggravated assault,2
2013,Yale University,Main Campus,12109,Criminal offenses,Public property,Aggravated assault,0
2014,Yale University,Main Campus,12336,Criminal offenses,Public property,Aggravated assault,2
2015,Yale University,Main Campus,12385,Criminal offenses,Public property,Aggravated assault,1
2016,Yale University,Main Campus,12458,Criminal offenses,Public property,Aggravated assault,4
2017,Yale University,Main Campus,12974,Criminal offenses,Public property,Aggravated assault,3
2001,Yale University,Main Campus,11136,Criminal offenses,Public property,Burglary,0
2002,Yale University,Main Campus,11378,Criminal offenses,Public property,Burglary,0
2003,Yale University,Main Campus,11471,Criminal offenses,Public property,Burglary,0
2004,Yale University,Main Campus,11441,Criminal offenses,Public property,Burglary,0
